id,geo_name,est_median_household_income,moe_median_household_income
8600000US00601,ZCTA5_00601,14398.00,1300.00
8600000US00602,ZCTA5_00602,16771.00,1141.00
8600000US00603,ZCTA5_00603,15786.00,1024.00
8600000US00606,ZCTA5_00606,14980.00,3558.00
8600000US00610,ZCTA5_00610,20167.00,1612.00
8600000US00612,ZCTA5_00612,19402.00,1114.00
8600000US00616,ZCTA5_00616,18903.00,2523.00
8600000US00617,ZCTA5_00617,17702.00,1846.00
8600000US00622,ZCTA5_00622,15640.00,2542.00
8600000US00623,ZCTA5_00623,17699.00,1371.00
8600000US00624,ZCTA5_00624,17161.00,1160.00
8600000US00627,ZCTA5_00627,18571.00,1593.00
8600000US00631,ZCTA5_00631,11476.00,2513.00
8600000US00637,ZCTA5_00637,18430.00,2452.00
8600000US00638,ZCTA5_00638,17634.00,1921.00
8600000US00641,ZCTA5_00641,15402.00,1449.00
8600000US00646,ZCTA5_00646,29757.00,3753.00
8600000US00647,ZCTA5_00647,13996.00,2170.00
8600000US00650,ZCTA5_00650,19368.00,2349.00
8600000US00652,ZCTA5_00652,22771.00,2315.00
8600000US00653,ZCTA5_00653,10977.00,1761.00
8600000US00656,ZCTA5_00656,17865.00,2082.00
8600000US00659,ZCTA5_00659,18998.00,1487.00
8600000US00660,ZCTA5_00660,19848.00,1567.00
8600000US00662,ZCTA5_00662,17216.00,1409.00
8600000US00664,ZCTA5_00664,15740.00,3173.00
8600000US00667,ZCTA5_00667,14472.00,951.00
8600000US00669,ZCTA5_00669,17199.00,1420.00
8600000US00670,ZCTA5_00670,14712.00,3386.00
8600000US00674,ZCTA5_00674,18790.00,1378.00
8600000US00676,ZCTA5_00676,16014.00,1263.00
8600000US00677,ZCTA5_00677,20027.00,4669.00
8600000US00678,ZCTA5_00678,17204.00,2135.00
8600000US00680,ZCTA5_00680,14825.00,1182.00
8600000US00682,ZCTA5_00682,14841.00,1946.00
8600000US00683,ZCTA5_00683,16441.00,1282.00
8600000US00685,ZCTA5_00685,15861.00,1411.00
8600000US00687,ZCTA5_00687,21191.00,1404.00
8600000US00688,ZCTA5_00688,17305.00,2107.00
8600000US00690,ZCTA5_00690,17246.00,5103.00
8600000US00692,ZCTA5_00692,21194.00,1418.00
8600000US00693,ZCTA5_00693,19970.00,1288.00
8600000US00694,ZCTA5_00694,,
8600000US00698,ZCTA5_00698,14811.00,1192.00
8600000US00703,ZCTA5_00703,20188.00,2010.00
8600000US00704,ZCTA5_00704,16734.00,2429.00
8600000US00705,ZCTA5_00705,20271.00,1609.00
8600000US00707,ZCTA5_00707,20419.00,2975.00
8600000US00714,ZCTA5_00714,16263.00,2560.00
8600000US00715,ZCTA5_00715,13288.00,4443.00
8600000US00716,ZCTA5_00716,17616.00,1419.00
8600000US00717,ZCTA5_00717,11838.00,900.00
8600000US00718,ZCTA5_00718,19220.00,2576.00
8600000US00719,ZCTA5_00719,18804.00,2544.00
8600000US00720,ZCTA5_00720,16072.00,1986.00
8600000US00723,ZCTA5_00723,17197.00,1628.00
8600000US00725,ZCTA5_00725,22847.00,1334.00
8600000US00727,ZCTA5_00727,30570.00,2244.00
8600000US00728,ZCTA5_00728,20131.00,1163.00
8600000US00729,ZCTA5_00729,22075.00,1297.00
8600000US00730,ZCTA5_00730,16036.00,1281.00
8600000US00731,ZCTA5_00731,15781.00,3114.00
8600000US00735,ZCTA5_00735,19097.00,2048.00
8600000US00736,ZCTA5_00736,22904.00,1242.00
8600000US00738,ZCTA5_00738,20808.00,2013.00
8600000US00739,ZCTA5_00739,20597.00,1713.00
8600000US00740,ZCTA5_00740,9611.00,5215.00
8600000US00741,ZCTA5_00741,21506.00,7737.00
8600000US00745,ZCTA5_00745,23975.00,1284.00
8600000US00751,ZCTA5_00751,17963.00,2113.00
8600000US00754,ZCTA5_00754,19408.00,1771.00
8600000US00757,ZCTA5_00757,20000.00,1893.00
8600000US00765,ZCTA5_00765,14049.00,1486.00
8600000US00766,ZCTA5_00766,19170.00,1662.00
8600000US00767,ZCTA5_00767,16828.00,1805.00
8600000US00769,ZCTA5_00769,18326.00,2285.00
8600000US00771,ZCTA5_00771,22097.00,2793.00
8600000US00772,ZCTA5_00772,14963.00,1797.00
8600000US00773,ZCTA5_00773,21805.00,2011.00
8600000US00775,ZCTA5_00775,24886.00,6811.00
8600000US00777,ZCTA5_00777,20718.00,1892.00
8600000US00778,ZCTA5_00778,35558.00,3261.00
8600000US00780,ZCTA5_00780,21724.00,2710.00
8600000US00782,ZCTA5_00782,14152.00,1504.00
8600000US00783,ZCTA5_00783,16815.00,1722.00
8600000US00784,ZCTA5_00784,17317.00,1558.00
8600000US00786,ZCTA5_00786,38798.00,26242.00
8600000US00791,ZCTA5_00791,21833.00,1622.00
8600000US00794,ZCTA5_00794,19024.00,2195.00
8600000US00795,ZCTA5_00795,20765.00,1604.00
8600000US00901,ZCTA5_00901,26204.00,6193.00
8600000US00906,ZCTA5_00906,109063.00,81931.00
8600000US00907,ZCTA5_00907,38798.00,4280.00
8600000US00909,ZCTA5_00909,21238.00,4443.00
8600000US00911,ZCTA5_00911,32290.00,4422.00
8600000US00912,ZCTA5_00912,27623.00,4087.00
8600000US00913,ZCTA5_00913,7428.00,2114.00
8600000US00915,ZCTA5_00915,13125.00,1143.00
8600000US00917,ZCTA5_00917,15904.00,1411.00
8600000US00918,ZCTA5_00918,29521.00,4609.00
8600000US00920,ZCTA5_00920,26153.00,1460.00
8600000US00921,ZCTA5_00921,19158.00,1439.00
8600000US00923,ZCTA5_00923,16052.00,1696.00
8600000US00924,ZCTA5_00924,19023.00,1801.00
8600000US00925,ZCTA5_00925,10928.00,2832.00
8600000US00926,ZCTA5_00926,35681.00,1978.00
8600000US00927,ZCTA5_00927,36994.00,3805.00
8600000US00934,ZCTA5_00934,,
8600000US00936,ZCTA5_00936,,
8600000US00949,ZCTA5_00949,27575.00,1361.00
8600000US00950,ZCTA5_00950,,
8600000US00951,ZCTA5_00951,,
8600000US00952,ZCTA5_00952,16196.00,1435.00
8600000US00953,ZCTA5_00953,27688.00,1577.00
8600000US00956,ZCTA5_00956,23859.00,1211.00
8600000US00957,ZCTA5_00957,27115.00,1864.00
8600000US00959,ZCTA5_00959,30307.00,2349.00
8600000US00960,ZCTA5_00960,,
8600000US00961,ZCTA5_00961,29811.00,2343.00
8600000US00962,ZCTA5_00962,16053.00,1620.00
8600000US00965,ZCTA5_00965,14279.00,1504.00
8600000US00966,ZCTA5_00966,48174.00,5080.00
8600000US00968,ZCTA5_00968,49500.00,11684.00
8600000US00969,ZCTA5_00969,47489.00,2916.00
8600000US00971,ZCTA5_00971,24972.00,4360.00
8600000US00976,ZCTA5_00976,31729.00,1939.00
8600000US00979,ZCTA5_00979,33087.00,3808.00
8600000US00982,ZCTA5_00982,25360.00,2414.00
8600000US00983,ZCTA5_00983,26385.00,2657.00
8600000US00985,ZCTA5_00985,27560.00,1749.00
8600000US00987,ZCTA5_00987,32596.00,2997.00
8600000US01001,ZCTA5_01001,66088.00,8372.00
8600000US01002,ZCTA5_01002,60540.00,13265.00
8600000US01003,ZCTA5_01003,,
8600000US01005,ZCTA5_01005,80060.00,22230.00
8600000US01007,ZCTA5_01007,94812.00,7380.00
8600000US01008,ZCTA5_01008,78988.00,14658.00
8600000US01009,ZCTA5_01009,72644.00,26945.00
8600000US01010,ZCTA5_01010,75577.00,22495.00
8600000US01011,ZCTA5_01011,71921.00,3530.00
8600000US01012,ZCTA5_01012,73750.00,8104.00
8600000US01013,ZCTA5_01013,46007.00,6328.00
8600000US01020,ZCTA5_01020,58909.00,5284.00
8600000US01022,ZCTA5_01022,43525.00,6116.00
8600000US01026,ZCTA5_01026,71000.00,6719.00
8600000US01027,ZCTA5_01027,66339.00,7343.00
8600000US01028,ZCTA5_01028,90579.00,5852.00
8600000US01029,ZCTA5_01029,92361.00,16316.00
8600000US01030,ZCTA5_01030,79713.00,7023.00
8600000US01031,ZCTA5_01031,45549.00,10090.00
8600000US01032,ZCTA5_01032,81875.00,23286.00
8600000US01033,ZCTA5_01033,101886.00,17916.00
8600000US01034,ZCTA5_01034,90625.00,13250.00
8600000US01035,ZCTA5_01035,86690.00,16267.00
8600000US01036,ZCTA5_01036,94393.00,8945.00
8600000US01037,ZCTA5_01037,83036.00,41961.00
8600000US01038,ZCTA5_01038,85449.00,15327.00
8600000US01039,ZCTA5_01039,94256.00,14637.00
8600000US01040,ZCTA5_01040,42537.00,2870.00
8600000US01050,ZCTA5_01050,73839.00,18959.00
8600000US01053,ZCTA5_01053,50357.00,30721.00
8600000US01054,ZCTA5_01054,93942.00,15131.00
8600000US01056,ZCTA5_01056,73516.00,6514.00
8600000US01057,ZCTA5_01057,77156.00,13194.00
8600000US01060,ZCTA5_01060,67356.00,8564.00
8600000US01062,ZCTA5_01062,76959.00,9590.00
8600000US01063,ZCTA5_01063,,
8600000US01066,ZCTA5_01066,,
8600000US01068,ZCTA5_01068,85326.00,5821.00
8600000US01069,ZCTA5_01069,66920.00,13617.00
8600000US01070,ZCTA5_01070,63750.00,17801.00
8600000US01071,ZCTA5_01071,81058.00,14270.00
8600000US01072,ZCTA5_01072,81042.00,9064.00
8600000US01073,ZCTA5_01073,104052.00,20260.00
8600000US01074,ZCTA5_01074,88775.00,22116.00
8600000US01075,ZCTA5_01075,73601.00,9957.00
8600000US01077,ZCTA5_01077,84896.00,13323.00
8600000US01079,ZCTA5_01079,32963.00,27765.00
8600000US01080,ZCTA5_01080,78576.00,10808.00
8600000US01081,ZCTA5_01081,74375.00,6934.00
8600000US01082,ZCTA5_01082,58131.00,6623.00
8600000US01083,ZCTA5_01083,78252.00,36986.00
8600000US01084,ZCTA5_01084,71875.00,19981.00
8600000US01085,ZCTA5_01085,74784.00,4248.00
8600000US01086,ZCTA5_01086,,
8600000US01088,ZCTA5_01088,42111.00,25596.00
8600000US01089,ZCTA5_01089,54516.00,4455.00
8600000US01092,ZCTA5_01092,60396.00,24123.00
8600000US01093,ZCTA5_01093,97083.00,42907.00
8600000US01094,ZCTA5_01094,,
8600000US01095,ZCTA5_01095,111487.00,13031.00
8600000US01096,ZCTA5_01096,81447.00,8977.00
8600000US01097,ZCTA5_01097,63750.00,14845.00
8600000US01098,ZCTA5_01098,81875.00,6056.00
8600000US01103,ZCTA5_01103,17736.00,4438.00
8600000US01104,ZCTA5_01104,40884.00,4451.00
8600000US01105,ZCTA5_01105,21875.00,2070.00
8600000US01106,ZCTA5_01106,123644.00,7809.00
8600000US01107,ZCTA5_01107,30457.00,7975.00
8600000US01108,ZCTA5_01108,41807.00,5902.00
8600000US01109,ZCTA5_01109,35000.00,3566.00
8600000US01118,ZCTA5_01118,70296.00,7503.00
8600000US01119,ZCTA5_01119,48324.00,5620.00
8600000US01128,ZCTA5_01128,67422.00,19600.00
8600000US01129,ZCTA5_01129,61769.00,9828.00
8600000US01151,ZCTA5_01151,44291.00,2129.00
8600000US01199,ZCTA5_01199,,
8600000US01201,ZCTA5_01201,57160.00,3017.00
8600000US01220,ZCTA5_01220,47908.00,5343.00
8600000US01222,ZCTA5_01222,58668.00,17032.00
8600000US01223,ZCTA5_01223,66161.00,15840.00
8600000US01224,ZCTA5_01224,,
8600000US01225,ZCTA5_01225,72119.00,14337.00
8600000US01226,ZCTA5_01226,73911.00,8249.00
8600000US01229,ZCTA5_01229,,
8600000US01230,ZCTA5_01230,68690.00,10584.00
8600000US01235,ZCTA5_01235,67404.00,9833.00
8600000US01236,ZCTA5_01236,63696.00,9238.00
8600000US01237,ZCTA5_01237,76579.00,19270.00
8600000US01238,ZCTA5_01238,77455.00,25674.00
8600000US01240,ZCTA5_01240,72802.00,26118.00
8600000US01242,ZCTA5_01242,,
8600000US01243,ZCTA5_01243,62708.00,22138.00
8600000US01244,ZCTA5_01244,50104.00,7092.00
8600000US01245,ZCTA5_01245,109063.00,44717.00
8600000US01247,ZCTA5_01247,52398.00,5554.00
8600000US01253,ZCTA5_01253,88487.00,5500.00
8600000US01254,ZCTA5_01254,96563.00,8061.00
8600000US01255,ZCTA5_01255,77000.00,12430.00
8600000US01256,ZCTA5_01256,47200.00,7946.00
8600000US01257,ZCTA5_01257,64375.00,28093.00
8600000US01258,ZCTA5_01258,74375.00,38440.00
8600000US01259,ZCTA5_01259,78625.00,26844.00
8600000US01260,ZCTA5_01260,107614.00,100635.00
8600000US01262,ZCTA5_01262,39286.00,21388.00
8600000US01264,ZCTA5_01264,68750.00,15210.00
8600000US01266,ZCTA5_01266,77500.00,7105.00
8600000US01267,ZCTA5_01267,91917.00,12369.00
8600000US01270,ZCTA5_01270,86912.00,9795.00
8600000US01301,ZCTA5_01301,46931.00,4569.00
8600000US01330,ZCTA5_01330,72609.00,9857.00
8600000US01331,ZCTA5_01331,61949.00,5741.00
8600000US01337,ZCTA5_01337,69853.00,8909.00
8600000US01338,ZCTA5_01338,64667.00,23043.00
8600000US01339,ZCTA5_01339,60438.00,11729.00
8600000US01340,ZCTA5_01340,60313.00,9865.00
8600000US01341,ZCTA5_01341,92500.00,16571.00
8600000US01342,ZCTA5_01342,103000.00,38043.00
8600000US01343,ZCTA5_01343,73125.00,21173.00
8600000US01344,ZCTA5_01344,63333.00,16987.00
8600000US01346,ZCTA5_01346,93400.00,10971.00
8600000US01347,ZCTA5_01347,,
8600000US01349,ZCTA5_01349,75417.00,25836.00
8600000US01350,ZCTA5_01350,,
8600000US01351,ZCTA5_01351,97054.00,10140.00
8600000US01354,ZCTA5_01354,68173.00,10224.00
8600000US01355,ZCTA5_01355,69038.00,3081.00
8600000US01360,ZCTA5_01360,75900.00,20535.00
8600000US01364,ZCTA5_01364,53949.00,6681.00
8600000US01366,ZCTA5_01366,71818.00,13184.00
8600000US01367,ZCTA5_01367,69375.00,12713.00
8600000US01368,ZCTA5_01368,86607.00,13585.00
8600000US01370,ZCTA5_01370,61711.00,6525.00
8600000US01373,ZCTA5_01373,82105.00,14319.00
8600000US01375,ZCTA5_01375,54524.00,12191.00
8600000US01376,ZCTA5_01376,41369.00,10655.00
8600000US01378,ZCTA5_01378,68839.00,8479.00
8600000US01379,ZCTA5_01379,62813.00,10344.00
8600000US01420,ZCTA5_01420,54683.00,4410.00
8600000US01430,ZCTA5_01430,113045.00,21708.00
8600000US01431,ZCTA5_01431,97269.00,11164.00
8600000US01432,ZCTA5_01432,99195.00,11696.00
8600000US01434,ZCTA5_01434,96500.00,49271.00
8600000US01436,ZCTA5_01436,70662.00,46414.00
8600000US01438,ZCTA5_01438,100579.00,29037.00
8600000US01440,ZCTA5_01440,51708.00,5564.00
8600000US01450,ZCTA5_01450,142500.00,24422.00
8600000US01451,ZCTA5_01451,177422.00,27231.00
8600000US01452,ZCTA5_01452,100255.00,15565.00
8600000US01453,ZCTA5_01453,63263.00,5243.00
8600000US01460,ZCTA5_01460,125275.00,13084.00
8600000US01462,ZCTA5_01462,99601.00,7610.00
8600000US01463,ZCTA5_01463,105377.00,7020.00
8600000US01464,ZCTA5_01464,89247.00,20640.00
8600000US01467,ZCTA5_01467,,
8600000US01468,ZCTA5_01468,82173.00,13389.00
8600000US01469,ZCTA5_01469,97730.00,11541.00
8600000US01473,ZCTA5_01473,98555.00,16027.00
8600000US01474,ZCTA5_01474,94554.00,26461.00
8600000US01475,ZCTA5_01475,81582.00,14099.00
8600000US01501,ZCTA5_01501,83265.00,7831.00
8600000US01503,ZCTA5_01503,104432.00,17825.00
8600000US01504,ZCTA5_01504,90665.00,13468.00
8600000US01505,ZCTA5_01505,106100.00,16518.00
8600000US01506,ZCTA5_01506,70610.00,18532.00
8600000US01507,ZCTA5_01507,102531.00,4194.00
8600000US01510,ZCTA5_01510,75455.00,12670.00
