id,geo_name,est_tot_pop,moe_tot_pop,est_pop_20_to_24,moe_pop_20_to_24,est_pop_25_to_29,moe_pop_25_to_29,est_tot_pop_30_to_34,moe_tot_pop_30_to_34,est_perc_pop_20_to_24,moe_perc_pop_20_to_24,est_perc_pop_25_to_29,moe_perc_pop_25_to_29,est_perc_pop_30_to_34,moe_perc_pop_30_to_34
8600000US00601,ZCTA5_00601,16773,259,1098,31,1093,49,978,60,6.5,0.2,6.5,0.3,5.8,0.3
8600000US00602,ZCTA5_00602,37083,149,2452,39,2457,5,2156,4,6.6,0.1,6.6,0.1,5.8,0.1
8600000US00603,ZCTA5_00603,45652,784,2854,239,2931,177,2572,158,6.3,0.5,6.4,0.4,5.6,0.4
8600000US00606,ZCTA5_00606,6231,337,402,126,329,56,355,53,6.5,1.9,5.3,0.8,5.7,0.8
8600000US00610,ZCTA5_00610,26502,137,1818,21,1730,3,1468,3,6.9,0.1,6.5,0.1,5.5,0.1
8600000US00612,ZCTA5_00612,58771,1215,3696,351,4016,298,3246,273,6.3,0.6,6.8,0.5,5.5,0.4
8600000US00616,ZCTA5_00616,9688,997,852,311,798,239,455,192,8.8,3,8.2,2.4,4.7,1.8
8600000US00617,ZCTA5_00617,23771,279,1532,203,1714,68,1393,46,6.4,0.8,7.2,0.2,5.9,0.2
8600000US00622,ZCTA5_00622,6505,1014,215,159,584,318,485,225,3.3,2.2,9,4.4,7.5,3.4
8600000US00623,ZCTA5_00623,41472,1014,2906,159,2366,318,1977,225,7,0.3,5.7,0.7,4.8,0.5
8600000US00624,ZCTA5_00624,21031,408,1367,54,1505,70,1312,70,6.5,0.3,7.2,0.3,6.2,0.3
8600000US00627,ZCTA5_00627,31066,,2172,,2100,,1688,,7,,6.8,,5.4,
8600000US00631,ZCTA5_00631,1481,267,73,44,105,61,101,64,4.9,3.2,7.1,3.9,6.8,3.8
8600000US00637,ZCTA5_00637,21957,150,1369,159,1394,27,1151,27,6.2,0.7,6.3,0.1,5.2,0.1
8600000US00638,ZCTA5_00638,16018,384,961,62,951,178,952,2,6,0.4,5.9,1,5.9,0.1
8600000US00641,ZCTA5_00641,26383,435,1708,44,1645,112,1418,97,6.5,0.2,6.2,0.4,5.4,0.4
8600000US00646,ZCTA5_00646,36538,98,2374,46,2163,4,1973,3,6.5,0.1,5.9,0.1,5.4,0.1
8600000US00647,ZCTA5_00647,5708,761,436,176,229,166,314,126,7.6,2.7,4,2.7,5.5,2.2
8600000US00650,ZCTA5_00650,13869,581,879,168,1161,218,748,175,6.3,1.2,8.4,1.4,5.4,1.2
8600000US00652,ZCTA5_00652,3624,596,246,146,166,127,103,68,6.8,4,4.6,3.4,2.8,1.8
8600000US00653,ZCTA5_00653,10117,761,791,183,536,144,507,126,7.8,1.6,5.3,1.3,5,1.2
8600000US00656,ZCTA5_00656,17984,147,1134,66,1120,23,1067,2,6.3,0.3,6.2,0.1,5.9,0.1
8600000US00659,ZCTA5_00659,39561,,2520,,2625,,2371,,6.4,,6.6,,6,
8600000US00660,ZCTA5_00660,15731,,959,114,838,,736,,6.1,0.7,5.3,,4.7,
8600000US00662,ZCTA5_00662,39017,578,2563,110,2622,123,2335,4,6.6,0.3,6.7,0.3,6,0.1
8600000US00664,ZCTA5_00664,14405,186,1013,130,1034,23,881,23,7,0.9,7.2,0.1,6.1,0.1
8600000US00667,ZCTA5_00667,22721,149,1841,262,1014,157,1142,2,8.1,1.1,4.5,0.7,5,0.1
8600000US00669,ZCTA5_00669,24022,260,1508,44,1574,61,1478,71,6.3,0.2,6.6,0.2,6.2,0.3
8600000US00670,ZCTA5_00670,8051,65,562,124,497,130,449,130,7,1.5,6.2,1.6,5.6,1.6
8600000US00674,ZCTA5_00674,38218,311,2593,30,2514,78,2084,4,6.8,0.1,6.6,0.2,5.5,0.1
8600000US00676,ZCTA5_00676,35621,74,2519,30,2390,2,2150,30,7.1,0.1,6.7,0.1,6,0.1
8600000US00677,ZCTA5_00677,13949,114,786,85,713,4,657,2,5.6,0.6,5.1,0.1,4.7,0.1
8600000US00678,ZCTA5_00678,24997,519,1493,216,1722,135,1240,252,6,0.9,6.9,0.5,5,1
8600000US00680,ZCTA5_00680,44904,1545,4515,469,2566,340,2744,270,10.1,0.9,5.7,0.7,6.1,0.6
8600000US00682,ZCTA5_00682,30212,1389,3786,432,1913,315,1307,250,12.5,1.2,6.3,1,4.3,0.8
8600000US00683,ZCTA5_00683,28710,584,2078,125,1723,133,1308,124,7.2,0.4,6,0.4,4.6,0.4
8600000US00685,ZCTA5_00685,36546,417,2306,78,2048,60,1797,85,6.3,0.2,5.6,0.2,4.9,0.2
8600000US00687,ZCTA5_00687,30652,,2225,,2269,,1978,,7.3,,7.4,,6.5,
8600000US00688,ZCTA5_00688,11355,873,929,250,690,213,795,210,8.2,2,6.1,1.7,7,1.7
8600000US00690,ZCTA5_00690,5900,784,584,239,315,178,330,158,9.9,3.7,5.3,3,5.6,2.7
8600000US00692,ZCTA5_00692,34857,688,2412,119,2415,176,2108,104,6.9,0.3,6.9,0.5,6,0.3
8600000US00693,ZCTA5_00693,52220,715,3495,109,3558,208,3140,104,6.7,0.2,6.8,0.4,6,0.2
8600000US00694,ZCTA5_00694,32,51,0,14,0,14,0,14,0,63.4,0,63.4,0,63.4
8600000US00698,ZCTA5_00698,34449,205,2149,66,2037,2,1857,30,6.2,0.2,5.9,0.1,5.4,0.1
8600000US00703,ZCTA5_00703,25619,751,1619,130,1797,178,1589,162,6.3,0.4,7,0.6,6.2,0.6
8600000US00704,ZCTA5_00704,7641,1008,787,214,1007,255,366,161,10.3,2.6,13.2,3.1,4.8,1.9
8600000US00705,ZCTA5_00705,22289,259,1421,111,1481,2,1252,75,6.4,0.5,6.6,0.1,5.6,0.3
8600000US00707,ZCTA5_00707,10514,90,573,118,638,21,551,161,5.4,1.1,6.1,0.1,5.2,1.5
8600000US00714,ZCTA5_00714,17413,139,1123,136,1104,39,1016,23,6.4,0.8,6.3,0.2,5.8,0.1
8600000US00715,ZCTA5_00715,2846,615,251,193,302,182,92,59,8.8,6.5,10.6,5.3,3.2,2
8600000US00716,ZCTA5_00716,26433,1369,1744,390,1610,326,1462,290,6.6,1.4,6.1,1.2,5.5,1
8600000US00717,ZCTA5_00717,15115,986,1110,275,1059,263,854,248,7.3,1.7,7,1.7,5.7,1.6
8600000US00718,ZCTA5_00718,25543,492,1728,90,1784,126,1626,27,6.8,0.2,7,0.4,6.4,0.1
8600000US00719,ZCTA5_00719,28048,228,1870,27,1992,27,1692,27,6.7,0.1,7.1,0.1,6,0.1
8600000US00720,ZCTA5_00720,20387,166,1495,51,1455,74,1190,27,7.3,0.2,7.1,0.3,5.8,0.1
8600000US00723,ZCTA5_00723,16645,90,978,125,1064,21,879,23,5.9,0.8,6.4,0.1,5.3,0.1
8600000US00725,ZCTA5_00725,79395,2121,5347,397,5150,544,4249,443,6.7,0.4,6.5,0.7,5.4,0.5
8600000US00727,ZCTA5_00727,51772,1950,3629,409,3837,464,3508,414,7,0.7,7.4,0.9,6.8,0.7
8600000US00728,ZCTA5_00728,39204,1561,3196,450,2988,376,2498,325,8.2,1,7.6,0.9,6.4,0.8
8600000US00729,ZCTA5_00729,50721,587,3529,130,3657,145,2992,150,7,0.2,7.2,0.3,5.9,0.3
8600000US00730,ZCTA5_00730,29075,1485,2062,356,1863,348,1640,269,7.1,1.1,6.4,1.1,5.6,0.9
8600000US00731,ZCTA5_00731,12108,1145,671,241,953,238,782,236,5.5,1.8,7.9,1.7,6.5,1.7
8600000US00735,ZCTA5_00735,11593,492,875,157,863,126,519,125,7.5,1.2,7.4,0.8,4.5,1.1
8600000US00736,ZCTA5_00736,45773,874,3056,139,2964,256,2525,151,6.7,0.3,6.5,0.5,5.5,0.3
8600000US00738,ZCTA5_00738,28329,450,2033,72,1969,123,1461,95,7.2,0.2,7,0.4,5.2,0.3
8600000US00739,ZCTA5_00739,35801,569,2446,139,2438,161,2230,122,6.8,0.4,6.8,0.4,6.2,0.3
8600000US00740,ZCTA5_00740,1934,450,120,72,190,123,152,95,6.2,3.3,9.8,5.6,7.9,4.4
8600000US00741,ZCTA5_00741,3911,615,130,64,357,164,213,122,3.3,1.7,9.1,3.7,5.4,2.9
8600000US00745,ZCTA5_00745,49472,284,3450,22,3536,64,2827,4,7,0.1,7.1,0.1,5.7,0.1
8600000US00751,ZCTA5_00751,20662,988,1185,182,862,245,1156,161,5.7,0.8,4.2,1.1,5.6,0.7
8600000US00754,ZCTA5_00754,36309,215,2426,43,2436,44,2172,30,6.7,0.1,6.7,0.1,6,0.1
8600000US00757,ZCTA5_00757,21474,,1584,,1487,,1211,,7.4,,6.9,,5.6,
8600000US00765,ZCTA5_00765,8402,149,611,164,232,165,534,395,7.3,1.9,2.8,2,6.4,4.7
8600000US00766,ZCTA5_00766,22187,147,1639,46,1521,74,1208,27,7.4,0.2,6.9,0.3,5.4,0.1
8600000US00767,ZCTA5_00767,32867,,2203,,2082,,1719,,6.7,,6.3,,5.2,
8600000US00769,ZCTA5_00769,38500,77,2174,23,2337,30,2324,30,5.6,0.1,6.1,0.1,6,0.1
8600000US00771,ZCTA5_00771,36388,453,2297,117,2478,30,2306,30,6.3,0.3,6.8,0.1,6.3,0.1
8600000US00772,ZCTA5_00772,18919,565,1264,124,1311,138,1207,150,6.7,0.6,6.9,0.6,6.4,0.7
8600000US00773,ZCTA5_00773,17924,,1277,,1199,,940,,7.1,,6.7,,5.2,
8600000US00775,ZCTA5_00775,1326,280,79,50,96,55,71,53,6,3.4,7.2,3.5,5.4,3.7
8600000US00777,ZCTA5_00777,39580,587,3189,228,2834,30,2438,2,8.1,0.5,7.2,0.1,6.2,0.1
8600000US00778,ZCTA5_00778,46720,403,3128,152,3295,4,2878,2,6.7,0.3,7.1,0.1,6.2,0.1
8600000US00780,ZCTA5_00780,10887,1169,670,267,682,302,494,196,6.2,2.4,6.3,2.5,4.5,1.7
8600000US00782,ZCTA5_00782,17310,485,1074,243,1198,146,1007,142,6.2,1.4,6.9,0.8,5.8,0.8
8600000US00783,ZCTA5_00783,32372,295,2270,30,2304,30,1985,42,7,0.1,7.1,0.1,6.1,0.1
8600000US00784,ZCTA5_00784,38894,362,2882,118,3011,69,2467,51,7.4,0.3,7.7,0.2,6.3,0.1
8600000US00786,ZCTA5_00786,292,256,0,14,0,14,73,75,0,15,0,15,25,16.8
8600000US00791,ZCTA5_00791,47675,615,3145,64,2783,164,2525,122,6.6,0.2,5.8,0.3,5.3,0.2
8600000US00794,ZCTA5_00794,28088,97,2244,141,2057,27,1866,53,8,0.5,7.3,0.1,6.6,0.2
8600000US00795,ZCTA5_00795,43475,574,3015,117,2979,165,2470,99,6.9,0.2,6.9,0.3,5.7,0.2
8600000US00901,ZCTA5_00901,7438,881,505,210,628,217,544,151,6.8,2.3,8.4,2.4,7.3,1.7
8600000US00906,ZCTA5_00906,178,113,0,14,16,25,41,39,0,23.1,9,13.3,23,15.7
8600000US00907,ZCTA5_00907,15641,1137,381,160,1086,383,918,264,2.4,1,6.9,2.2,5.9,1.6
8600000US00909,ZCTA5_00909,4855,611,368,152,317,120,433,198,7.6,2.8,6.5,2.4,8.9,3.9
8600000US00911,ZCTA5_00911,7157,706,318,134,273,136,475,142,4.4,1.7,3.8,1.8,6.6,2.2
8600000US00912,ZCTA5_00912,5868,748,495,173,405,186,250,135,8.4,2.6,6.9,2.9,4.3,2.2
8600000US00913,ZCTA5_00913,7225,941,525,158,659,194,482,174,7.3,2.1,9.1,2,6.7,2.1
8600000US00915,ZCTA5_00915,24079,1253,1895,279,1639,284,1280,276,7.9,1,6.8,1.1,5.3,1.1
8600000US00917,ZCTA5_00917,17836,1371,1051,309,1270,324,978,227,5.9,1.6,7.1,1.8,5.5,1.2
8600000US00918,ZCTA5_00918,14902,1249,1204,442,1429,400,853,250,8.1,2.6,9.6,2.5,5.7,1.7
8600000US00920,ZCTA5_00920,16157,1137,858,170,1213,260,1150,242,5.3,0.9,7.5,1.5,7.1,1.5
8600000US00921,ZCTA5_00921,30663,1644,2177,395,2373,436,1693,351,7.1,1.2,7.7,1.3,5.5,1.1
8600000US00923,ZCTA5_00923,23811,1393,1667,323,1825,409,1212,243,7,1.2,7.7,1.6,5.1,1
8600000US00924,ZCTA5_00924,46690,2327,3202,461,2787,425,2962,478,6.9,0.9,6,0.9,6.3,1
8600000US00925,ZCTA5_00925,6365,772,1147,310,436,151,391,165,18,4.8,6.8,2.4,6.1,2.3
8600000US00926,ZCTA5_00926,89327,2742,6205,606,5307,706,5003,604,6.9,0.6,5.9,0.7,5.6,0.6
8600000US00927,ZCTA5_00927,13490,1215,1105,349,747,315,856,244,8.2,2.5,5.5,2.2,6.3,1.7
8600000US00934,ZCTA5_00934,114,127,0,14,0,14,23,38,0,32.7,0,32.7,20.2,23.4
8600000US00936,ZCTA5_00936,802,850,154,152,60,92,0,14,19.2,21.8,7.5,6.3,0,5.7
8600000US00949,ZCTA5_00949,71371,1016,4923,179,5210,192,4175,226,6.9,0.2,7.3,0.3,5.8,0.3
8600000US00950,ZCTA5_00950,0,14,0,14,0,14,0,14,,,,,,
8600000US00951,ZCTA5_00951,0,14,0,14,0,14,0,14,,,,,,
8600000US00952,ZCTA5_00952,7324,862,451,154,361,158,605,207,6.2,2,4.9,2.2,8.3,2.6
8600000US00953,ZCTA5_00953,70997,820,5298,136,5085,255,4520,112,7.5,0.2,7.2,0.3,6.4,0.1
8600000US00956,ZCTA5_00956,60554,2106,4040,428,4985,530,3594,372,6.7,0.6,8.2,0.8,5.9,0.5
8600000US00957,ZCTA5_00957,37977,1873,2870,331,2991,493,2379,314,7.6,0.8,7.9,1.1,6.3,0.8
8600000US00959,ZCTA5_00959,46116,2061,3182,436,3142,445,2954,357,6.9,0.9,6.8,0.8,6.4,0.7
8600000US00960,ZCTA5_00960,1793,246,299,99,361,82,276,85,16.7,5.3,20.1,3.5,15.4,3.9
8600000US00961,ZCTA5_00961,28638,1288,1839,252,1753,360,1664,252,6.4,0.8,6.1,1.2,5.8,0.9
8600000US00962,ZCTA5_00962,18274,652,1287,113,1224,128,1332,93,7,0.5,6.7,0.6,7.3,0.5
8600000US00965,ZCTA5_00965,6901,654,391,138,568,190,418,165,5.7,2,8.2,2.6,6.1,2.2
8600000US00966,ZCTA5_00966,15139,1289,898,304,892,231,1012,295,5.9,1.9,5.9,1.5,6.7,1.7
8600000US00968,ZCTA5_00968,3603,459,56,91,260,135,149,86,1.6,2.5,7.2,3.6,4.1,2.3
8600000US00969,ZCTA5_00969,40402,1813,2678,432,2528,471,2584,400,6.6,1,6.3,1.1,6.4,0.9
8600000US00971,ZCTA5_00971,25443,1434,1579,372,1865,386,1299,333,6.2,1.4,7.3,1.5,5.1,1.3
8600000US00976,ZCTA5_00976,57297,1476,3610,295,3876,222,3255,282,6.3,0.5,6.8,0.4,5.7,0.5
8600000US00979,ZCTA5_00979,17022,1133,1181,300,1209,353,893,275,6.9,1.7,7.1,2,5.2,1.5
8600000US00982,ZCTA5_00982,13402,939,893,244,1173,294,796,208,6.7,1.7,8.8,2,5.9,1.4
8600000US00983,ZCTA5_00983,32735,1884,2536,377,2971,487,1817,357,7.7,1,9.1,1.4,5.6,1
8600000US00985,ZCTA5_00985,31388,1365,2150,300,1943,346,1575,320,6.8,0.9,6.2,1,5,1
8600000US00987,ZCTA5_00987,52270,2162,3431,432,3096,580,3042,431,6.6,0.8,5.9,1,5.8,0.9
8600000US01001,ZCTA5_01001,16064,941,677,199,1192,264,1138,306,4.2,1.2,7.4,1.6,7.1,1.8
