id,geo_name,est_median_rent,moe_median_rent
8600000US00601,ZCTA5_00601,296.00,17.00
8600000US00602,ZCTA5_00602,289.00,27.00
8600000US00603,ZCTA5_00603,322.00,22.00
8600000US00606,ZCTA5_00606,302.00,171.00
8600000US00610,ZCTA5_00610,348.00,43.00
8600000US00612,ZCTA5_00612,322.00,31.00
8600000US00616,ZCTA5_00616,279.00,43.00
8600000US00617,ZCTA5_00617,406.00,42.00
8600000US00622,ZCTA5_00622,276.00,53.00
8600000US00623,ZCTA5_00623,360.00,18.00
8600000US00624,ZCTA5_00624,311.00,35.00
8600000US00627,ZCTA5_00627,402.00,52.00
8600000US00631,ZCTA5_00631,126.00,41.00
8600000US00637,ZCTA5_00637,320.00,36.00
8600000US00638,ZCTA5_00638,278.00,20.00
8600000US00641,ZCTA5_00641,311.00,23.00
8600000US00646,ZCTA5_00646,520.00,49.00
8600000US00647,ZCTA5_00647,361.00,53.00
8600000US00650,ZCTA5_00650,409.00,24.00
8600000US00652,ZCTA5_00652,446.00,166.00
8600000US00653,ZCTA5_00653,241.00,39.00
8600000US00656,ZCTA5_00656,252.00,33.00
8600000US00659,ZCTA5_00659,328.00,31.00
8600000US00660,ZCTA5_00660,349.00,32.00
8600000US00662,ZCTA5_00662,365.00,24.00
8600000US00664,ZCTA5_00664,292.00,29.00
8600000US00667,ZCTA5_00667,355.00,35.00
8600000US00669,ZCTA5_00669,330.00,19.00
8600000US00670,ZCTA5_00670,217.00,34.00
8600000US00674,ZCTA5_00674,388.00,35.00
8600000US00676,ZCTA5_00676,320.00,14.00
8600000US00677,ZCTA5_00677,380.00,39.00
8600000US00678,ZCTA5_00678,344.00,30.00
8600000US00680,ZCTA5_00680,341.00,21.00
8600000US00682,ZCTA5_00682,352.00,29.00
8600000US00683,ZCTA5_00683,328.00,26.00
8600000US00685,ZCTA5_00685,305.00,27.00
8600000US00687,ZCTA5_00687,378.00,34.00
8600000US00688,ZCTA5_00688,335.00,29.00
8600000US00690,ZCTA5_00690,549.00,394.00
8600000US00692,ZCTA5_00692,436.00,41.00
8600000US00693,ZCTA5_00693,390.00,30.00
8600000US00694,ZCTA5_00694,,
8600000US00698,ZCTA5_00698,304.00,49.00
8600000US00703,ZCTA5_00703,365.00,47.00
8600000US00704,ZCTA5_00704,371.00,83.00
8600000US00705,ZCTA5_00705,371.00,25.00
8600000US00707,ZCTA5_00707,353.00,37.00
8600000US00714,ZCTA5_00714,315.00,18.00
